Num,type,ra,dec,plx,e_plx,GAIAmag,e_GAIAmag,pmRA.1,pmDEC,e_pmRA,e_pmDEC,MASS,massSrc,RAD,radSrc,TEFF,TeffSrc,MH,mhSrc,LOGG,loggSrc,lum,e_lum,lumclass,Tmag,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag.1,e_gmag,rmag.1,e_rmag,imag.1,e_imag,zmag.1,e_zmag,Jmag.1,e_Jmag,Hmag.1,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,e_Tmag,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,VmagFlag,BmagFlag,splists,e_RA,e_DEC,RA_orig,DEC_orig,e_RA_orig,e_DEC_orig,raddflag,wdflag,objID,_RAJ2000.1,_DEJ2000.1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,BP-RP,RV.1,e_RV,PM,RUWE,GamgCorr,e_GmagCorr,FGCorr,RAJ2000,DEJ2000,Dup,AG,E(BP-RP),Gaialum,B-V,objType,typeSrc,PS1,SDSSDR13,SkyMapper2,URAT1,TIC,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,APASS,KIC
1,1,354.8357808,77.63312481,72.5167,0.147,2.942957,0.003051,,,,,2.013422953,Estimated,4.606506944,Estimated,4833.6,TESS,0.0489,TESS,,,10.3780304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367912480,,,,,,,,
2,1,48.01887219,-28.98761906,71.4337,0.132,3.801439,0.002866,,,,,1.18,TESS,1.798,TESS,6080.9,GAIA DR3,-0.5576,GAIA DR3,4.018,GAIA DR3,4.25005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88523071,,,,,,,,
3,1,182.1038798,-24.72905348,66.7696,0.1804,3.946629,0.003061,,,,,1.52,TESS,1.43,TESS,6900.2,GAIA DR3,-0.5055,GAIA DR3,4.1915,GAIA DR3,4.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421189312,,,,,,,,
4,1,64.1205346,-59.30290022,54.2286,0.1019,4.134786,0.003016,,,,,1.623839198,Estimated,3.539,TESS,4850.7,TESS,0.391,TESS,,,7.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198079199,,,,,,,,
5,1,142.2877319,-2.76907841,54.9187,0.4523,4.465013,0.002919,,,,,1.377749751,Estimated,2.492,TESS,6353.5,GAIA DR3,-0.5275,GAIA DR3,4.0357,GAIA DR3,3.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77549389,,,,,,,,
6,1,258.835117,-26.60789783,168.1303,0.1081,4.828591,0.002851,,,,,0.718351749,Estimated,0.76,GAIA,4997,GAIA DR3,-0.3685,GAIA DR3,4.5379,GAIA DR3,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84405,,,,,,,
7,1,92.56235755,-74.75398809,97.9158,0.0573,4.90014,0.002917,,,,,0.99,TESS,0.992,TESS,5495.9,GAIA DR3,0.0765,GAIA DR3,4.3686,GAIA DR3,0.86555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141810080,,,,,,,,
8,1,118.0641914,-34.70437854,54.5631,0.0665,4.940166,0.002823,,,,,1.24390124,Estimated,1.29,GAIA,6421.1,GAIA DR3,-0.8309,GAIA DR3,4.1547,GAIA DR3,2.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07521555-3442199,,,,
9,1,214.7519594,-25.81380529,55.59,0.0531,5.732926,0.002832,,,,,1.17,TESS,0.968,TESS,6044.9,GAIA DR3,-1.2125,GAIA DR3,4.361,GAIA DR3,1.20833,0.04032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83391616,,,,,,,,
10,1,223.3469462,19.15376086,85.9932,0.5516,5.766141,0.002894,,,,,0.80008742,Estimated,0.912,TESS,4996.1,GAIA DR3,-0.5225,GAIA DR3,4.396,GAIA DR3,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267365256,,,,,,,,
11,1,4.063774501,-79.85142961,56.9644,0.0192,6.408673,,,,,,0.950150176,Estimated,0.931222538,Estimated,5367.2,GAIA DR3,-0.4662,GAIA DR3,4.44,GAIA DR3,0.644743123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292,,,,,,,
12,1,96.5421099,18.75620889,68.4142,0.0983,6.484982,0.002904,,,,,0.82,TESS,0.923,TESS,4958,TESS,-0.21,TESS,4.4219,TESS,0.46338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430173956,,,,,,,,
13,1,82.1873651,-65.44796166,67.3331,0.4414,6.690593,0.003395,,,,,0.747994008,Estimated,0.81,GAIA,5117.33,GAIA,,,,,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149248196,,,,,,,,
14,1,316.7950084,-13.92314983,57.524,0.0209,6.946214,0.002764,,,,,0.87,TESS,0.806,TESS,5185.3,GAIA DR3,0.0041,GAIA DR3,4.5352,GAIA DR3,0.40917,0.01096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214563192,,,,,,,,
15,1,207.2645953,26.97943507,74.0937,0.037,7.203598,0.002763,,,,,0.631967968,Estimated,0.644,TESS,4524.2,GAIA DR3,-0.1348,GAIA DR3,4.5388,GAIA DR3,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359220741,,,,,,,,
16,1,190.2775156,15.37502028,70.8793,0.0266,7.507833,0.002762,,,,,0.7,TESS,0.723,TESS,4488,TESS,-0.15,TESS,4.5649,TESS,0.19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460814512,,,,,,,,
17,1,247.2184022,18.41543717,51.7909,0.0189,7.583468,0.002766,,,,,0.681780117,Estimated,0.71,GAIA,4965.9,GAIA DR3,-0.0391,GAIA DR3,4.6229,GAIA DR3,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E+18,,,,,,,,,,,
18,1,75.6184,-21.2566,119.3399,0.1539,7.7507,0.0024,,,,,0.607,TESS,0.624,TESS,4063.6,GAIA,,,4.6312,TESS,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146438424,,,,,,,,
19,1,133.8355443,70.79208043,86.3037,0.039,8.067136,0.002769,,,,,0.504707104,Estimated,0.61,GAIA,3950.4,GAIA DR3,-0.3926,GAIA DR3,4.5739,GAIA DR3,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08552479+7047389,,,,
20,1,171.1592424,-61.64801353,85.6129,0.0214,8.075447,0.002767,,,,,0.672,TESS,0.712,TESS,3844.6,GAIA DR3,-0.6053,GAIA DR3,4.4868,GAIA DR3,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315311765,,,,,,,,
21,1,170.3619392,-20.45423817,72.8638,0.3248,8.125107,0.002784,,,,,0.525312131,Estimated,0.63,GAIA,5450,TESS,0.04,TESS,,,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91506422,,437261156,,,,,,,,
22,1,264.0569565,71.87819071,52.4929,0.0167,8.170528,0.002764,,,,,0.606053182,Estimated,0.634,TESS,4464.3,GAIA DR3,-0.0716,GAIA DR3,4.5683,GAIA DR3,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233192934,,,,,,,,
23,1,90.07825876,-31.02811489,54.0381,0.2267,8.256326,0.002804,,,,,0.574710426,Estimated,0.6,GAIA,4665.9,GAIA,,,,,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06001940-3101494,,,,
24,1,206.9289716,-32.43113117,68.582,0.0282,8.416762,0.002773,,,,,0.619,TESS,0.57,GAIA,3826.1,GAIA DR3,-0.7982,GAIA DR3,4.393,GAIA DR3,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J134742.92-322551.7,,
25,1,11.45295179,-41.90961757,63.5619,0.0445,8.4282,0.0004,,,,,0.664,TESS,0.701,TESS,4120,TESS,,,4.5689,TESS,0.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183564259,,,,,,,,
26,1,284.3773969,-55.99386891,81.0113,0.0278,8.643511,0.002777,,,,,0.473107009,Estimated,0.62,GAIA,3814.67,GAIA,,,,,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93069,,,,,,,
27,1,196.5638875,20.72966994,50.8073,0.0226,8.973733,0.002793,,,,,0.532975176,Estimated,0.66,GAIA,4006.4,GAIA DR3,-0.9633,GAIA DR3,4.4744,GAIA DR3,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J130615.35+204346.0,,
28,1,99.29786766,-50.03823357,66.4943,0.0137,8.983372,0.002772,,,,,0.617,TESS,0.637,TESS,4045.39,GAIA,,,4.6202,TESS,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255743532,,,,,,,,
29,1,132.6760376,7.864451094,56.0073,0.0393,9.072543,0.00283,,,,,0.548203411,Estimated,0.758321564,Estimated,3689.2,GAIA DR3,-1.2018,GAIA DR3,4.1216,GAIA DR3,0.095438644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J085042.27+075151.7,,
30,1,210.6424452,46.3406565,89.5327,0.0285,9.161387,0.002791,,,,,0.521,TESS,0.466,TESS,3499.4,GAIA DR3,-1.1174,GAIA DR3,4.2549,GAIA DR3,0.02529,0.00532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198151136,,,,,,,,
31,2,266.6028614,27.71373737,119.8871,0.2055,9.184961,0.003044,,,,,0.356885569,Estimated,0.378957406,Estimated,3603.556404,Estimated,,,,,0.021696753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J174624.90+274254.0,,
32,1,200.8847187,29.238599,55.1931,0.0313,9.195823,0.002823,,,,,0.484806441,Estimated,0.56,GAIA,3714.2,GAIA DR3,-0.912,GAIA DR3,4.3234,GAIA DR3,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J132332.45+291417.5,,
33,1,119.4833441,-60.29901533,61.869,0.0122,9.207225,0.002767,,,,,0.454902548,Estimated,0.5,GAIA,3655.9,GAIA DR3,-0.6368,GAIA DR3,4.4509,GAIA DR3,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459898558,,,,,,,,,,
34,1,263.807237,-48.67877743,103.3081,0.0216,9.293614,0.002775,,,,,0.456,TESS,0.459,TESS,3235.1,GAIA DR3,-1.0658,GAIA DR3,4.0199,GAIA DR3,0.03063,0.00726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325624908,,,,,,,,
35,1,296.6021339,32.0153213,71.7155,0.0159,9.308386,0.002766,,,,,0.549,TESS,0.554,TESS,3611.3,GAIA DR3,-0.3456,GAIA DR3,4.5886,GAIA DR3,0.05169,0.01187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58338990,,,,,,,,
36,1,260.2533642,-21.11282006,57.1682,0.0345,9.391741,0.003324,,,,,0.455391011,Estimated,0.290696672,Estimated,5076,GAIA,,,,,0.050263789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,112.9890898,36.21837686,83.3788,0.0487,9.601197,0.002853,,,,,0.411629362,Estimated,0.594685146,Estimated,3252.3,GAIA DR3,-1.1439,GAIA DR3,3.9311,GAIA DR3,0.035450733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J073157.47+361307.3,,
38,1,310.4647312,-32.43751492,101.9724,0.077,9.605488,0.002824,,,,,0.377970532,Estimated,0.560748816,Estimated,3111.9,GAIA DR3,-0.0626,GAIA DR3,4.318,GAIA DR3,0.026419701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234056193,,,,,,,,,,
39,1,258.9581106,19.0000837,73.0621,0.0295,9.650931,0.002767,,,,,0.41201166,Estimated,0.467463984,Estimated,3671.2,GAIA DR3,-0.4866,GAIA DR3,4.7259,GAIA DR3,0.035564535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J171549.98+190000.2,,
40,1,198.5618914,-59.10272665,54.8608,0.0288,9.675653,0.002813,,,,,0.445010514,Estimated,0.52,GAIA,3816.6,GAIA DR3,-0.0181,GAIA DR3,4.7069,GAIA DR3,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,254.727158,-39.55657409,52.8552,0.0155,9.771798,0.002793,,,,,0.192,TESS,0.218,TESS,3507.4,GAIA DR3,-0.7851,GAIA DR3,4.2557,GAIA DR3,0.00422,0.00201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343110545,,,,,,,,
42,1,50.89806879,-40.07660398,56.4831,0.0543,10.189824,0.003263,,,,,0.387838118,Estimated,0.290031678,Estimated,4424.03,GAIA,,,,,0.028870332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,49.06146616,58.16732759,73.5769,0.0186,10.193903,0.002786,,,,,0.445,TESS,0.448,TESS,3310.7,GAIA DR3,-0.7329,GAIA DR3,4.3573,GAIA DR3,0.02871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385254626,,,,,,,,
44,1,81.64896814,-42.33821116,50.3413,0.0121,10.201844,0.002772,,,,,0.529,TESS,0.533,TESS,3691.9,GAIA DR3,-0.0449,GAIA DR3,4.7302,GAIA DR3,0.04862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7445600,,,,,,,,
45,1,335.8726517,32.45830346,65.6467,0.0706,10.365282,0.00292,,,,,0.359532753,Estimated,0.341497211,Estimated,3820.14,GAIA,,,,,0.022252565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E+18,,,,,,,,,,,
46,1,254.202689,-39.09440697,63.5822,0.0183,10.380703,0.003088,,,,,0.401591909,Estimated,0.618723575,Estimated,3121.3,GAIA DR3,-0.8343,GAIA DR3,3.9392,GAIA DR3,0.032555474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82926,,,,,,,
47,1,104.4373295,-44.29139605,124.5695,0.0495,10.418207,0.002858,,,,,0.273714593,Estimated,0.322154613,Estimated,3179.6,GAIA DR3,-1.0393,GAIA DR3,4.4549,GAIA DR3,0.009504019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J065745.44-441728.9,,
48,1,167.8286858,43.41549543,59.5953,0.0278,10.615825,0.002796,,,,,0.387426115,Estimated,0.556633206,Estimated,3190.5,GAIA DR3,-0.7274,GAIA DR3,4.1444,GAIA DR3,0.028764833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012-620-2,,,,,,
49,1,187.2202167,-10.6634954,51.4416,0.0281,10.644775,0.002865,,,,,0.534,TESS,0.538,TESS,3279.8,GAIA DR3,-0.8477,GAIA DR3,4.1325,GAIA DR3,0.04121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98751019,,,,,,,,
50,1,24.77167421,-17.94768286,373.8443,0.5009,10.817838,0.003415,,,,,0.13418182,Estimated,0.09207191,Estimated,3295.75,GAIA,,,,,0.000896107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,185.1066806,0.583685109,56.8121,0.1621,10.839606,0.006426,,,,,0.354264803,Estimated,0.375635859,Estimated,3596.717587,Estimated,,,,,0.021156708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112227781,,,,,,,,,,
52,1,76.70644212,-21.58463037,50.5811,0.1038,11.045983,0.003453,,,,,0.332639969,Estimated,0.222967736,Estimated,4425,GAIA,,,,,0.017077559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J050649.51-213504.4,,
53,1,33.119011,-8.071574921,59.9653,0.0376,11.194275,0.002824,,,,,0.312552323,Estimated,0.293445154,Estimated,3661.57,GAIA,,,,,0.013867939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J021228.77-080415.0,,
54,1,203.1878265,16.81038835,59.9886,0.0452,11.226671,0.002851,,,,,0.330709224,Estimated,0.420604472,Estimated,3206,GAIA DR3,-1.1388,GAIA DR3,4.1698,GAIA DR3,0.016745206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E+18,,,,,,,,,,,
55,2,188.3146768,9.021829208,223.4775,0.4665,11.240162,0.003232,,,,,0.169231352,Estimated,0.159704804,Estimated,2973.135565,Estimated,,,,,0.001785597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J123316.13+090118.0,,
56,1,282.173896,-46.78456777,56.8982,0.026,11.268034,0.002825,,,,,0.313660401,Estimated,0.286227348,Estimated,3718.28,GAIA,,,,,0.014030698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J184841.56-464706.1,,
57,2,208.7599534,-29.09063168,59.2009,0.1099,11.334182,0.003501,,,,,0.311070614,Estimated,0.322673571,Estimated,3478.184648,Estimated,,,,,0.013652934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,240.4837048,-33.95333544,66.5519,0.2734,11.341636,0.003183,,,,,0.276206985,Estimated,0.21067411,Estimated,3955.78,GAIA,,,,,0.009737321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117411644,,,,,,,,,,
59,1,327.2995139,-41.55949476,63.8403,0.0799,11.351092,0.002809,,,,,0.309169829,Estimated,0.372246885,Estimated,3222.1,GAIA DR3,-1.1212,GAIA DR3,4.2987,GAIA DR3,0.013381563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58171191,
60,1,71.71511767,-11.28016001,52.7724,0.0317,11.400209,0.002842,,,,,0.335369375,Estimated,0.411756462,Estimated,3278.8,GAIA DR3,-0.1144,GAIA DR3,4.7095,GAIA DR3,0.017556146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J044651.64-111648.1,,
61,1,283.7244009,10.97919584,53.6444,0.043,11.441002,0.002912,,,,,0.44,TESS,0.359,TESS,3462,TESS,,,4.9703,TESS,0.01672,0.00281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101285663,,,,,,,,
